Datetime,Absolute Pressure,Temperature,Water Level
2023-08-05 02:00:00,9.2411,10.944,4287.314
2023-08-05 05:00:00,9.2916,9.669,4287.349
2023-08-05 08:00:00,9.2669,8.282,4287.33
2023-08-05 11:00:00,9.3858,8.182,4287.414
2023-08-05 14:00:00,9.4138,8.978,4287.434
2023-08-05 17:00:00,9.4434,10.553,4287.456
2023-08-05 20:00:00,9.5481,9.866,4287.529
2023-08-05 23:00:00,9.5944,8.68,4287.561
2023-08-06 02:00:00,9.539,7.481,4287.521
2023-08-06 05:00:00,9.4496,6.877,4287.458
2023-08-06 08:00:00,9.4311,6.37,4287.445
2023-08-06 11:00:00,9.502,8.879,4287.496
2023-08-06 14:00:00,9.4138,13.461,4287.438
2023-08-06 17:00:00,9.4172,17.189,4287.444
2023-08-06 20:00:00,9.3581,16.427,4287.402
2023-08-06 23:00:00,9.3512,13.076,4287.393
2023-08-07 02:00:00,9.3501,10.259,4287.39
2023-08-07 05:00:00,9.3461,8.182,4287.386
2023-08-07 08:00:00,9.3351,6.978,4287.378
2023-08-07 11:00:00,9.3177,9.472,4287.367
2023-08-07 14:00:00,9.2805,15.282,4287.346
2023-08-07 17:00:00,9.254,17.379,4287.329
2023-08-07 20:00:00,9.2554,15.951,4287.329
2023-08-07 23:00:00,9.2283,13.461,4287.307
2023-08-08 02:00:00,9.2501,11.041,4287.32
2023-08-08 05:00:00,9.2464,9.176,4287.317
2023-08-08 08:00:00,9.2446,8.182,4287.315
2023-08-08 11:00:00,9.2282,11.139,4287.305
2023-08-08 14:00:00,9.2214,16.618,4287.305
2023-08-08 17:00:00,9.2406,19.472,4287.323
2023-08-08 20:00:00,9.2978,15.091,4287.358
2023-08-08 23:00:00,9.3236,12.497,4287.373
2023-08-09 02:00:00,9.5378,9.176,4287.521
2023-08-09 05:00:00,9.6367,7.782,4287.59
2023-08-09 08:00:00,9.5531,7.882,4287.531
2023-08-09 11:00:00,9.5293,9.275,4287.516
