Datetime,Absolute Pressure,Temperature,Water Level,Flow Rate (m³/s)
2023-08-05 02:00:00,9.2411,10.944,4287.314,6.554244144001465
2023-08-05 05:00:00,9.2916,9.669,4287.349,7.452958907139394
2023-08-05 08:00:00,9.2669,8.282,4287.33,11.20557806374972
2023-08-05 11:00:00,9.3858,8.182,4287.414,9.451015198362908
2023-08-05 14:00:00,9.4138,8.978,4287.434,10.164583929688394
2023-08-05 17:00:00,9.4434,10.553,4287.456,11.010148419868417
2023-08-05 20:00:00,9.5481,9.866,4287.529,14.336200145435377
2023-08-05 23:00:00,9.5944,8.68,4287.561,16.085758839067054
2023-08-06 02:00:00,9.539,7.481,4287.521,14.760276131615303
2023-08-06 05:00:00,9.4496,6.877,4287.458,13.686919749370162
2023-08-06 08:00:00,9.4311,6.37,4287.445,13.45512495448525
2023-08-06 11:00:00,9.502,8.879,4287.496,12.726446185805825
2023-08-06 14:00:00,9.4138,13.461,4287.438,13.328697325957034
2023-08-06 17:00:00,9.4172,17.189,4287.444,10.540782671191538
2023-08-06 20:00:00,9.3581,16.427,4287.402,12.659252457727284
2023-08-06 23:00:00,9.3512,13.076,4287.393,12.486479428354155
2023-08-07 02:00:00,9.3501,10.259,4287.39,12.428373344499164
2023-08-07 05:00:00,9.3461,8.182,4287.386,12.350488271952504
2023-08-07 08:00:00,9.3351,6.978,4287.378,12.19327884687596
2023-08-07 11:00:00,9.3177,9.472,4287.367,11.973868157706473
2023-08-07 14:00:00,9.2805,15.282,4287.346,11.543852592051003
2023-08-07 17:00:00,9.254,17.379,4287.329,11.184109334195421
2023-08-07 20:00:00,9.2554,15.951,4287.329,6.925677521278937
2023-08-07 23:00:00,9.2283,13.461,4287.307,10.701345210332251
2023-08-08 02:00:00,9.2501,11.041,4287.32,6.700428495320717
2023-08-08 05:00:00,9.2464,9.176,4287.317,10.923324052371889
2023-08-08 08:00:00,9.2446,8.182,4287.315,10.879276234608408
2023-08-08 11:00:00,9.2282,11.139,4287.305,10.656417064044339
2023-08-08 14:00:00,9.2214,16.618,4287.305,6.34077585573058
2023-08-08 17:00:00,9.2406,19.472,4287.323,6.77470683197773
2023-08-08 20:00:00,9.2978,15.091,4287.358,7.7028049409617
2023-08-08 23:00:00,9.3236,12.497,4287.373,8.137457117125932
2023-08-09 02:00:00,9.5378,9.176,4287.521,13.928644162464934
2023-08-09 05:00:00,9.6367,7.782,4287.59,17.849760255255724
2023-08-09 08:00:00,9.5531,7.882,4287.531,14.923760112615739
2023-08-09 11:00:00,9.5293,9.275,4287.516,14.67787162822118
